material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-634410,NaN3,5,C2,0.2695652075,False,0.9999947547912598,0.9999985694885254,0.9999993244806924,0.9999994039535522,0.9999980131785074,0.9999947547912598
mp-1035758,KMg14BO15,25,Pmm2,0.296678774278592,False,0.999994158744812,0.9999983310699464,0.9999993642171224,1.0,0.9999979635079702,0.999994158744812
mp-1034270,RbMg14BO15,25,Pmm2,0.372348127272726,False,0.9999942779541016,0.9999982118606568,0.9999992847442628,1.0,0.9999979436397552,0.9999942779541016
mp-1222100,Mg4Te3S,25,Pmm2,0.034163601875,False,0.9999946355819702,0.9999979734420776,0.999999205271403,0.9999998807907104,0.9999979237715403,0.9999946355819702
mp-1190649,MgO,8,Cm,0.153608795416666,False,0.9999940395355223,0.9999983310699464,0.9999993642171224,0.9999997615814208,0.999997874101003,0.9999940395355223
mp-1245532,LiSbN2,33,Pna2_1,0.095194543333332,False,0.9999951124191284,0.9999972581863404,0.999999205271403,0.9999998807907104,0.9999978641668955,0.9999951124191284
mp-580554,CsLi3Br4,26,Pmc2_1,0.051401969374999,False,0.9999949932098388,0.9999974966049194,0.9999990463256836,0.9999998807907104,0.9999978542327881,0.9999949932098388
mp-1077078,KCN,9,Cc,0.125557558750001,False,0.9999947547912598,0.9999974966049194,0.999999483426412,0.9999996423721312,0.9999978442986807,0.9999947547912598
mp-1195294,K14ZnGe16,31,Pmn2_1,0.0,True,0.9999946355819702,0.9999979734420776,0.9999987681706748,1.0,0.9999978442986807,0.9999946355819702
mp-768682,Rb5FeO4,31,Pmn2_1,0.032673567125,False,0.9999943971633912,0.9999977350234984,0.9999993244806924,0.9999998807907104,0.9999978343645731,0.9999943971633912
mp-675153,Ca16HN8,31,Pmn2_1,0.029587961600004,False,0.9999939203262328,0.9999980926513672,0.9999992847442628,1.0,0.9999978244304657,0.9999939203262328
mp-557027,Rb2Be2Si2O7,34,Pnn2,0.0,True,0.9999945163726808,0.9999974966049194,0.9999993642171224,0.9999998807907104,0.9999978144963583,0.9999945163726808
mp-2748904,Rb4SnO3,9,Cc,0.0,True,0.9999949932098388,0.9999971389770508,0.999999443689982,0.9999996423721312,0.9999978045622507,0.9999949932098388
mp-1212053,K2MgGeO4,29,Pca2_1,0.0,True,0.999994158744812,0.999997854232788,0.9999992450078328,0.9999998807907104,0.9999977846940358,0.999994158744812
mp-18361,K7NbAs4,31,Pmn2_1,0.0,True,0.9999946355819702,0.9999970197677612,0.999999443689982,0.9999998807907104,0.999997744957606,0.9999946355819702
mp-1202105,K3AsS4,33,Pna2_1,0.001672578125,False,0.9999942779541016,0.9999972581863404,0.999999443689982,0.9999998807907104,0.9999977151552836,0.9999942779541016
mp-1189646,LiH2N,33,Pna2_1,0.083717961249999,False,0.9999942779541016,0.9999974966049194,0.999999205271403,0.9999998807907104,0.9999977151552836,0.9999942779541016
mp-1247239,Cs3Mo2N5,80,I4_1,0.021616935250001,False,0.9999929666519164,0.9999984502792358,0.9999993642171224,1.0,0.9999976952870687,0.9999929666519164
mp-550498,Li4CO4,5,C2,0.146751537777778,False,0.9999947547912598,0.9999971389770508,0.9999994039535522,0.9999994039535522,0.9999976754188538,0.9999947547912598
mp-1223933,K4Sr2SnAs4,9,Cc,0.012457290757569,False,0.9999945163726808,0.999997615814209,0.9999991655349731,0.9999994039535522,0.9999976754188538,0.9999945163726808
mp-1211307,Li3GeO4,31,Pmn2_1,0.084187162541667,False,0.9999948740005492,0.9999966621398926,0.9999990463256836,1.0,0.9999976456165314,0.9999948740005492
mp-15171,K2MgSiO4,29,Pca2_1,0.0,True,0.9999935626983644,0.999997854232788,0.9999991257985432,1.0,0.9999976356824238,0.9999935626983644
mp-20310,LiInSe2,33,Pna2_1,0.000827533749999,False,0.9999951124191284,0.9999961853027344,0.9999991257985432,1.0,0.9999976058801014,0.9999951124191284
mp-6386,K2ZnGeO4,29,Pca2_1,0.0,True,0.9999938011169434,0.99999737739563,0.9999993244806924,0.9999998807907104,0.999997595945994,0.9999938011169434
mp-22655,KNiPO4,33,Pna2_1,0.0,True,0.9999936819076538,0.9999974966049194,0.9999991655349731,1.0,0.9999975860118866,0.9999936819076538
mp-15148,K4Nb2S11,29,Pca2_1,0.006857118878675,False,0.999992847442627,0.999997854232788,0.9999996026357016,1.0,0.9999975760777792,0.999992847442627
mp-1223803,K6Zn4Sn5S17,5,C2,0.0,True,0.9999951124191284,0.9999972581863404,0.999999205271403,0.9999986886978148,0.9999975661436716,0.9999951124191284
mp-17964,Na2Ge2Se5,33,Pna2_1,0.0,True,0.9999936819076538,0.99999737739563,0.999999205271403,1.0,0.9999975661436716,0.9999936819076538
mp-1031091,RbLiMg6O7,99,P4mm,0.427710376749996,False,0.999992847442627,0.9999980926513672,0.9999993244806924,1.0,0.9999975661436716,0.999992847442627
